ano;nescolnome;ebairrnome;cescolrpae;anoensino;nturesnome;mat;alunosexo;esitaldesc
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15755274;M;TR DUR ANO P/REDE
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14286068;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5035864;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12059293;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13165470;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16124219;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12839019;F;TR DUR ANO P/REDE
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8015929;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5036267;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5371694;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5036437;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5035910;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16732375;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;6091989;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10165436;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14208725;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14286483;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8322244;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16676157;F;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15034836;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14185024;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15767620;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;6284191;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15714950;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;7345763;M;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14180944;F;RENV S/SIT FINAL DEF
