ano;nescolnome;ebairrnome;cescolrpae;anoensino;nturesnome;mat;alunosexo;situ;esitaldesc
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15755274;M;TA;TR DUR ANO P/REDE
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14286068;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5035864;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12059293;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13165470;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16124219;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12839019;F;TA;TR DUR ANO P/REDE
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8015929;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5036267;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5371694;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5036437;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5035910;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16732375;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;6091989;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10165436;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14208725;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14286483;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8322244;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16676157;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15034836;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14185024;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15767620;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;6284191;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15714950;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;7345763;M;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14180944;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13165496;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5040647;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15749690;F;TA;TR DUR ANO P/REDE
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;6135056;M;MO;REMANEJADO
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;6085865;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;5371686;F;RN;RENV S/SIT FINAL DEF
2019;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11682434;F;RN;RENV S/SIT FINAL DEF
